date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:52	329204/329204	---M--	200	added ('OK')	text/html	etag:%22505f4-5dbde27e38c80%22	https://mojtababagheri.ir/assets/fonts/fa/fa-solid-900.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-solid-900.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:52	977380/977380	---M--	200	added ('OK')	application/x-font-ttf	etag:%22ee9e4-5dbde28021100%22	https://mojtababagheri.ir/assets/fonts/fa/fa-regular-400.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-regular-400.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:54	23654/23654	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:50%20GMT	https://mojtababagheri.ir/post/blg1001/5%20Big%20Web%20Design%20Predictions%20for%202022/	D:/My-Web/WEB/mojtababagheri.ir/post/blg1001/5%20Big%20Web%20Design%20Predictions%20for%202022/index.html	(from https://mojtababagheri.ir/)
19:32:55	13057/13057	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:50%20GMT	https://mojtababagheri.ir/project/	D:/My-Web/WEB/mojtababagheri.ir/project/index.html	(from https://mojtababagheri.ir/)
19:32:55	17861/17861	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:50%20GMT	https://mojtababagheri.ir/newsletter/	D:/My-Web/WEB/mojtababagheri.ir/newsletter/index.html	(from https://mojtababagheri.ir/)
19:32:55	10755/10755	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:53%20GMT	https://mojtababagheri.ir/message/	D:/My-Web/WEB/mojtababagheri.ir/message/index.html	(from https://mojtababagheri.ir/)
19:32:55	4960/4960	---M--	200	added ('OK')	text/html	etag:%221360-5dbde287c2300%22	https://mojtababagheri.ir/assets/fonts/fa/fa-v4compatibility.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-v4compatibility.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:56	866192/866192	---M--	200	added ('OK')	application/x-font-ttf	etag:%22d3790-5dbde283f1a00%22	https://mojtababagheri.ir/assets/fonts/fa/fa-solid-900.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-solid-900.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:56	10556/10556	---M--	200	added ('OK')	application/x-font-ttf	etag:%22293c-5dbde285d9e80%22	https://mojtababagheri.ir/assets/fonts/fa/fa-v4compatibility.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-v4compatibility.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:56	464316/464316	---M--	200	added ('OK')	text/html	etag:%22715bc-5dbde28b92c00%22	https://mojtababagheri.ir/assets/fonts/fa/fa-thin-100.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-thin-100.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:56	59476/59476	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e854-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Black.eot	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Black.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:56	59476/59476	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e854-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Black.eot?	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Blackd41d.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:56	28424/28424	---M--	200	added ('OK')	text/html	etag:%226f08-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Black.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Black.html	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:57	36641/36641	---M--	200	added ('OK')	application/x-font-woff	etag:%228f21-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Black.woff	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Black.woff	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:57	59172/59172	---M--	200	added ('OK')	application/x-font-ttf	etag:%22e724-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Black.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Black.ttf	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:57	61136/61136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22eed0-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Bold.eot	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Bold.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:57	1216884/1216884	---M--	200	added ('OK')	application/x-font-ttf	etag:%22129174-5dbde28b92c00%22	https://mojtababagheri.ir/assets/fonts/fa/fa-thin-100.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-thin-100.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:58	61136/61136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22eed0-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Bold.eot?	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Boldd41d.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:58	29692/29692	---M--	200	added ('OK')	text/html	etag:%2273fc-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Bold.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Bold.html	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:58	37877/37877	---M--	200	added ('OK')	application/x-font-woff	etag:%2293f5-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Bold.woff	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Bold.woff	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:58	60856/60856	---M--	200	added ('OK')	application/x-font-ttf	etag:%22edb8-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Bold.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Bold.ttf	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:58	52548/52548	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22cd44-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Medium.eot	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Medium.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:58	52548/52548	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22cd44-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Medium.eot?	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Mediumd41d.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:59	27008/27008	---M--	200	added ('OK')	text/html	etag:%226980-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Medium.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Medium.html	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:59	33789/33789	---M--	200	added ('OK')	application/x-font-woff	etag:%2283fd-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Medium.woff	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Medium.woff	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:59	52240/52240	---M--	200	added ('OK')	application/x-font-ttf	etag:%22cc10-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Medium.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Medium.ttf	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:32:59	57332/57332	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dff4-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Light.eot	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Light.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:00	57332/57332	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dff4-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Light.eot?	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_Lightd41d.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:00	29556/29556	---M--	200	added ('OK')	text/html	etag:%227374-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Light.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_Light.html	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:00	37065/37065	---M--	200	added ('OK')	application/x-font-woff	etag:%2290c9-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Light.woff	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_Light.woff	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:00	57028/57028	---M--	200	added ('OK')	application/x-font-ttf	etag:%22dec4-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Light.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_Light.ttf	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:00	62992/62992	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f610-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_UltraLight.eot	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_UltraLight.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:01	62992/62992	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f610-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_UltraLight.eot?	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb_UltraLightd41d.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:01	31292/31292	---M--	200	added ('OK')	text/html	etag:%227a3c-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_UltraLight.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb_UltraLight.html	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:01	39529/39529	---M--	200	added ('OK')	application/x-font-woff	etag:%229a69-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_UltraLight.woff	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff/IRANSansWeb_UltraLight.woff	(from https://mojtababagheri.ir/assets/css/fonts.css)
